method,male_cutoff_hz,female_cutoff_hz,male_si_sdr_db,female_si_sdr_db,avg_si_sdr_db,min_si_sdr_db,male_snr_db,female_snr_db,male_corr,female_corr,avg_corr,male_spectral_l1,female_spectral_l1,reconstruction_error,balanced_score
Butterworth,1300.0,1450.0,1.109773592028699,-6.5900881911126845,-2.740157299541993,-6.5900881911126845,2.8946508840173673,0.8019369154931164,0.7506919040912008,0.4240768550451735,0.5873843795681871,nan,nan,0.05670538802313109,-4.973843412008223
Butterworth,600.0,1300.0,1.1399825854541727,-6.027748121106018,-2.4438827678259227,-6.027748121106018,3.427581850960247,0.9168516932019282,0.7518300738151249,0.44691921003788004,0.5993746419265025,nan,nan,0.35875387711271595,-4.976515298751359
Butterworth,850.0,1350.0,0.8546389815117222,-6.196447181004769,-2.6709040997465237,-6.196447181004769,2.9157078505843255,0.880806178560508,0.7409715394020552,0.44000018299013616,0.5904858611960957,nan,nan,0.205504904601259,-4.999165777059234
Butterworth,1250.0,1450.0,1.1189120954285767,-6.5900881911126845,-2.735588047842054,-6.5900881911126845,2.9142968472452346,0.8019369154931164,0.75103650047833,0.4240768550451735,0.5875566777617518,nan,nan,0.07555402439433483,-5.006626836663562
Butterworth,1000.0,1400.0,0.9850208582244385,-6.384788276478276,-2.6998837091269188,-6.384788276478276,2.9152658060467793,0.8423392193141666,0.7459628184880208,0.4323419219948575,0.5891523702414392,nan,nan,0.15451940601097436,-5.0230119189051265
Butterworth,800.0,1350.0,0.8770437141142815,-6.196447181004769,-2.659701733445244,-6.196447181004769,2.973529339629064,0.880806178560508,0.7418327374065814,0.44000018299013616,0.5909164601983588,nan,nan,0.22894391272978823,-5.033980229010488
Butterworth,1200.0,1450.0,1.1174682889944023,-6.5900881911126845,-2.736309951059141,-6.5900881911126845,2.927770067275372,0.8019369154931164,0.7509820738325408,0.4240768550451735,0.5875294644388571,nan,nan,0.09396397856790621,-5.044223074873582
Butterworth,750.0,1350.0,0.9280517203757344,-6.196447181004769,-2.6341977303145176,-6.196447181004769,3.058759962521724,0.880806178560508,0.7437879956691509,0.44000018299013616,0.5918940893296435,nan,nan,0.25714263140113613,-5.062918404959888
Butterworth,1150.0,1450.0,1.104330534406345,-6.5900881911126845,-2.7428788283531698,-6.5900881911126845,2.934923931305802,0.8019369154931164,0.7504865372135556,0.4240768550451735,0.5872816961293645,nan,nan,0.11187763821179894,-5.08711480807438
Butterworth,950.0,1400.0,0.9252372478621034,-6.384788276478276,-2.7297755143080864,-6.384788276478276,2.8998966564318795,0.8423392193141666,0.7436803066474288,0.4323419219948575,0.5880111143211432,nan,nan,0.17527293562619342,-5.096693295157325
Butterworth,700.0,1350.0,0.9804949609694873,-6.196447181004769,-2.607976110017641,-6.196447181004769,3.153645726888363,0.880806178560508,0.7457903874061279,0.44000018299013616,0.5928952851981321,nan,nan,0.2900486250707846,-5.1005063802653305
Butterworth,1100.0,1450.0,1.0783652848124894,-6.5900881911126845,-2.7558614531500973,-6.5900881911126845,2.9354980505374364,0.8019369154931164,0.7495056463710354,0.4240768550451735,0.5867912507081045,nan,nan,0.12975786737492373,-5.136838782040078
Butterworth,650.0,1350.0,1.033408859082625,-6.196447181004769,-2.581519160961072,-6.196447181004769,3.2626587984970317,0.880806178560508,0.7478025735595151,0.44000018299013616,0.5939013782748256,nan,nan,0.32566889166502627,-5.143277778243858
Butterworth,900.0,1400.0,0.8746472129214155,-6.384788276478276,-2.7550705317784305,-6.384788276478276,2.8944907817183427,0.8423392193141666,0.7417406890691861,0.4323419219948575,0.5870413055320218,nan,nan,0.19579238604949267,-5.16496683105251
Butterworth,600.0,1350.0,1.1399825854541727,-6.196447181004769,-2.5282322977752982,-6.196447181004769,3.427581850960247,0.880806178560508,0.7518300738151249,0.44000018299013616,0.5959151284026305,nan,nan,0.3654085646008243,-5.16544276067407
Butterworth,1400.0,1500.0,1.0674082257116568,-6.81393040492715,-2.8732610896077464,-6.81393040492715,2.840752396514999,0.7595856033449253,0.7490911168599563,0.4151673444863404,0.5821292306731484,nan,nan,0.03777752235288659,-5.191522875430797
